datetime,R5,R4,R3,Pivot,S3,S4,S5,open,high,low,close,dayVolume
07-03-2022 12:03,253.1096453,248.2575,245.32875,245.05,239.47125,236.5425,231.6903547,236,248,231,238.25,81266
08-03-2022 12:03,255.7835498,247.6,242.925,239.0833333,233.575,228.9,220.7164502,237,258,235,250.5,138438
09-03-2022 12:03,275.0170213,263.15,256.825,247.8333333,244.175,237.85,225.9829787,254.3,300.6,246,298.05,578515
10-03-2022 12:03,364.202561,328.08,313.065,281.55,283.035,268.02,231.897439,295.6,328,286.05,317.35,729586
11-03-2022 12:03,363.890229,340.4225,328.88625,310.4666667,305.81375,294.2775,270.809771,318,333,313.65,317.35,244810
14-03-2022 12:03,336.928264,327.9925,322.67125,321.3333333,312.02875,306.7075,297.771736,321,326,305.55,309.15,137985
15-03-2022 12:03,329.8409426,320.3975,314.77375,313.5666667,303.52625,297.9025,288.4590574,313.4,322.25,305.1,318.2,176072
16-03-2022 12:03,336.0863651,327.6325,322.91625,315.1833333,313.48375,308.7675,300.3136349,321,322.25,312,314.45,52063
17-03-2022 12:03,324.7804888,320.0875,317.26875,316.2333333,311.63125,308.8125,304.1195112,317.05,359.4,308,322.65,531162
21-03-2022 12:03,376.4948377,350.92,336.785,330.0166667,308.515,294.38,268.8051623,326.1,328.8,309.9,311.15,163456
22-03-2022 12:03,330.1262343,321.545,316.3475,316.6166667,305.9525,300.755,292.1737657,313.45,316,305.5,307.9,53004
23-03-2022 12:03,318.4824877,313.675,310.7875,309.8,305.0125,302.125,297.3175123,311.85,329,308.65,323.15,366642
24-03-2022 12:03,344.4560181,334.3425,328.74625,320.2666667,317.55375,311.9575,301.8439819,323.5,337.45,317.7,319.15,255719
25-03-2022 12:03,338.9901401,330.0125,324.58125,324.7666667,313.71875,308.2875,299.3098599,320,323.15,312.9,314.75,252546
28-03-2022 12:03,325.0606024,320.3875,317.56875,316.9333333,311.93125,309.1125,304.4393976,319.9,319.9,308,309.35,82644
29-03-2022 12:03,321.3021591,315.895,312.6225,312.4166667,306.0775,302.805,297.3978409,317.8,317.8,307.95,312.65,170628
30-03-2022 12:03,322.6503328,318.0675,315.35875,312.8,309.94125,307.2325,302.6496672,315.05,318,310.05,311.8,118479
31-03-2022 12:03,319.7948718,316.1725,313.98625,313.2833333,309.61375,307.4275,303.8051282,313,329.3,312.3,319.45,205065
01-04-2022 12:04,336.8392091,328.8,324.125,320.35,314.775,310.1,302.0607909,321,327,317.05,325.15,221057
04-04-2022 12:04,335.3542028,330.6225,327.88625,323.0666667,322.41375,319.6775,314.9457972,329.5,342.05,325.05,333.15,396272
05-04-2022 12:04,350.5736271,342.5,337.825,333.4166667,328.475,323.8,315.7263729,338.95,338.95,326.35,328.65,158488
06-04-2022 12:04,341.3388004,335.58,332.115,331.3166667,325.185,321.72,315.9611996,329.8,331.45,319,320.75,117068
07-04-2022 12:04,333.2682994,327.5975,324.17375,323.7333333,317.32625,313.9025,308.2317006,320.8,323.7,314.9,316.15,86365
08-04-2022 12:04,324.9849317,320.99,318.57,318.25,313.73,311.31,307.3150683,318.9,321.65,314,319.2,130872
11-04-2022 12:04,326.9766879,323.4075,321.30375,318.2833333,317.09625,314.9925,311.4233121,320.05,336.7,317.1,326.5,667620
12-04-2022 12:04,346.6810155,337.28,331.89,326.7666667,321.11,315.72,306.3189845,328,364.95,320,351.65,823166
13-04-2022 12:04,401.0458359,376.3725,364.01125,345.5333333,339.28875,326.9275,302.2541641,368,372.3,357.95,366.4,671492
18-04-2022 12:04,381.0887554,374.2925,370.34625,365.55,362.45375,358.5075,351.7112446,364.9,380,358.2,373.55,610221
19-04-2022 12:04,396.2841988,385.54,379.545,370.5833333,367.555,361.56,350.8158012,372,401,371,377.35,1072819
20-04-2022 12:04,407.8634771,393.85,385.6,383.1166667,369.1,360.85,346.8365229,382.3,433.3,382.3,417.15,2117968
21-04-2022 12:04,472.7990976,445.2,431.175,410.9166667,403.125,389.1,361.5009024,427.85,437,415,428.45,1174383
22-04-2022 12:04,451.163012,440.55,434.5,426.8166667,422.4,416.35,405.736988,423,431.95,405,407.85,381861
25-04-2022 12:04,434.9896481,422.6725,415.26125,414.9333333,400.43875,393.0275,380.7103519,409,410,376,405.85,664662
26-04-2022 12:04,442.5492021,424.55,415.2,397.2833333,396.5,387.15,369.1507979,410.55,417,393.25,400.8,208527
27-04-2022 12:04,425.0059758,413.8625,407.33125,403.6833333,394.26875,387.7375,376.5940242,404,404,382.15,389.55,235702
28-04-2022 12:04,411.8231061,401.5675,395.55875,391.9,383.54125,377.5325,367.2768939,395,410,385,387,90387
29-04-2022 12:04,412.1298701,400.75,393.875,394,380.125,373.25,361.8701299,389.95,398.9,380.25,383.25,102257
